Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No.,Supplier Price,Quantity,Details,Product Details
ADAPTOR (OIL COOLER ),006001760B1,code128,,Default Category,nos,nos,nos,59.032,73.4375,,GST @28%,exclusive,no_image.png,,,,,,,,,87089100,,,,,0,,
"HOSE, TURBOCHARGER OIL RETURN STD",0305GAV00060N,code128,,Default Category,nos,nos,nos,59.032,79.66101695,,GST @18%,exclusive,no_image.png,,,,,,,,,40092200,,,,,0,,
HOSE PIPE FOR BREATHER ASSEMBLY_AGNI,006009913B1,code128,,Default Category,nos,nos,nos,59.13146,85.59322034,,GST @18%,exclusive,no_image.png,,,,,,,,,40092200,,,,,0,,
TORQUE ADAPTOR,0085761240-LOM,code128,,Default Category,nos,nos,nos,59.13146,85.59322034,,GST @18%,exclusive,no_image.png,,,,,,,,,73181900,,,,,0,,
PACKING RING (DI),005551208R1-PB,code128,,Default Category,nos,nos,nos,59.1683,79.66101695,,GST @18%,exclusive,no_image.png,,,,,,,,,40161000,,,,,0,,
BOLT - M18 X 2.5 X 70 X 10.9,0302ABA00440N,code128,,Default Category,nos,nos,nos,59.17058,72.88135593,,GST @18%,exclusive,no_image.png,,,,,,,,,85044029,,,,,0,,
BOLT CYLINDER HEAD (LONG),005554989R1-PB,code128,,Default Category,nos,nos,nos,59.4352,74.57627119,,GST @18%,exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
EGR SUPPORTING BRACKET_1 _40KVA_CPCB-II,006017959H1,code128,,Default Category,nos,nos,nos,59.4352,74.57627119,,GST @18%,exclusive,no_image.png,,,,,,,,,83025000,,,,,0,,
BOLT CYLINDER HEAD MOUNTING-12.9,006000812F1-PB,code128,,Default Category,nos,nos,nos,59.52142,75.42372881,,GST @18%,exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
VALVE GUIDE KOEL,663101000-KIR,code128,,Default Category,nos,nos,nos,59.63056,74.57627119,,GST @18%,exclusive,no_image.png,,,,,,,,,85013220,,,,,0,,
DRAIN COCK,006001122R1-PB,code128,,Default Category,nos,nos,nos,59.66,80.50847458,,GST @18%,exclusive,no_image.png,,,,,,,,,85030010,,,,,0,,
PIPE FUEL FILTER TO FIP - 235BP,006001965B2,code128,,Default Category,nos,nos,nos,59.69135,80.50847458,,GST @18%,exclusive,no_image.png,,,,,,,,,73041910,,,,,0,,
HOSE PIPE FOR THERMOSTAT TO ENGINE OUT,D215108-KIR,code128,,Default Category,nos,nos,nos,59.71692,86.44067797,,GST @18%,exclusive,no_image.png,,,,,,,,,40091100,,,,,0,,
SCREW M14X30,007204216D1,code128,,Default Category,nos,nos,nos,60.12157,82.20338983,,GST @18%,exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
CLAMP SAE J1 508 TYPE SLTB - SAE No.- 42,0304DAV00490N,code128,,Default Category,nos,nos,nos,60.1902,76.27118644,,GST @18%,exclusive,no_image.png,,,,,,,,,84314930,,,,,0,,
Thrust washer Upper,0312AAV00090N,code128,,Default Category,nos,nos,nos,60.1902,76.27118644,,GST @18%,exclusive,no_image.png,,,,,,,,,73182200,,,,,0,,
ROLLER TAPPET SCREW FOR LOCK,0097651820-LOM,code128,,Default Category,nos,nos,nos,60.288,81.3559322,,GST @18%,exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
LUB OIL FILTER ELEMENT,304019-KIR,code128,,Default Category,nos,nos,nos,60.30238,80.46875,,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
BUSH BI-MET  48.975X53.030X21.50,2.03E+09,code128,,Default Category,nos,nos,nos,60.35752,71.875,,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
COUPLING STRAIGHT (OD 12 MM),000051685D01,code128,,Default Category,nos,nos,nos,60.35752,71.875,,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
GASKET FRONT COVER - 235DI,006002188B1,code128,,Default Category,nos,nos,nos,60.35752,77.96610169,,GST @18%,exclusive,no_image.png,,,,,,,,,84841090,,,,,0,,
BRACKET  FUEL LINE  MANIFOLD  CB28,0305DAV02350N,code128,,Default Category,nos,nos,nos,60.54664,68.75,,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
PIPE LUBRICATION,006004882F1,code128,,Default Category,nos,nos,nos,60.88784,88.13559322,,GST @18%,exclusive,no_image.png,,,,,,,,,73079990,,,,,0,,
RACCORDO/UNION  FV C10,0072701040-LOM,code128,,Default Category,nos,nos,nos,60.88784,88.13559322,,GST @18%,exclusive,no_image.png,,,,,,,,,73181500,,,,,0,,
BRACKET ADJUSTER ROD,1102DAA04080N,code128,,Default Category,nos,nos,nos,60.88784,81.25,,GST @28%,exclusive,no_image.png,,,,,,,,,87085000,,,,,0,,
PUSH ROD (NEF),2.01E+09,code128,,Default Category,nos,nos,nos,60.916,75.78125,,GST @28%,exclusive,no_image.png,,,,,,,,,84099949,,,,,0,,
CLAMP TB-94,0304DBA00121N,code128,,Default Category,nos,nos,nos,61.01358,78.81355932,,GST @18%,exclusive,no_image.png,,,,,,,,,85044029,,,,,0,,
GUARD ALTERNATOR,005554914R13,code128,,Default Category,nos,nos,nos,61.4733,88.98305085,,GST @18%,exclusive,no_image.png,,,,,,,,,85030090,,,,,0,,
PLUG CONNECTING,006000622F1,code128,,Default Category,nos,nos,nos,61.4733,82.03125,,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
COVER CAM SHAFT,006009314H1,code128,,Default Category,nos,nos,nos,61.4733,82.03125,,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
SP LOADED CLIP SAEJ1508 SLTB NO48,6303BAB00081N,code128,,Default Category,nos,nos,nos,61.544,83.05084746,,GST @18%,exclusive,no_image.png,,,,,,,,,84314930,,,,,0,,
PL WASHER D40/14.5 9 THK SP.,0076260430-LOM,code128,,Default Category,nos,nos,nos,61.57075,82.20338983,,GST @18%,exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
