Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No.,Supplier Price,Quantity,Details,Product Details,
,0000000K4,code128,,Default Category,nos1,nos1,nos1,346.028,551,5,GST@0.18,Exclusive,no_image.png,,,,,,,,,85443000,,,,,0,,,
ENGINE SERVICE MANUAL - 235 DI AIR FLOW,000000185PM,code128,,Default Category,nos1,nos1,nos1,390.37125,615,5,GST@0.12,Exclusive,no_image.png,,,,,,,,,49111090,,,,,0,,,
BELT ALTERNATOR (NEW A35 SIZE),000010561P02,code128,,Default Category,nos1,nos1,nos1,135.58901,241,5,GST@0.28,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,,
BOLT HEX (M16X2.0X40X8.8 ),000010583P03,code128,,Default Category,nos1,nos1,nos1,53.66634,78,5,GST@0.18,Exclusive,no_image.png,,,,,,,,,73181500,,,,,0,,,
"PIPE CPTE, FUEL SUPPLY",000010586P02,code128,,Default Category,nos1,nos1,nos1,131.88,210,5,GST@0.18,Exclusive,no_image.png,,,,,,,,,73041910,,,,,0,,,
WASHER PLAIN M12,000010671P03,code128,,Default Category,nos1,nos1,nos1,3.01685,5,5,GST@0.28,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,,
PIPE CPTE. FEED PUMP TO FILTER - SACTOR,000010816P02,code128,,Default Category,nos1,nos1,nos1,82.14106,146,5,GST@0.18,Exclusive,no_image.png,,,,,,,,,73041910,,,,,0,,,
PIPE CPTE. FILTER TO INJ PUMP - SACTOR,000010817P02,code128,,Default Category,nos1,nos1,nos1,70.32625,125,5,GST@0.18,Exclusive,no_image.png,,,,,,,,,73041910,,,,,0,,,
LOCK PLATE CAM,000012510P04,code128,,Default Category,nos1,nos1,nos1,5.24848,8,5,GST@0.28,Exclusive,no_image.png,,,,,,,,,87084000,,,,,0,,,
