Product Code,Product Name,Variant,Expected,Counted
0000000K4,(USE 005555207R1)   KEY STARTER SWITCH,,12,22
000000185PM,ENGINE SERVICE MANUAL - 235 DI AIR FLOW,,25,22
000010561P02,BELT ALTERNATOR (NEW A35 SIZE),,65,22
