Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No.,Supplier Price,Quantity,Details,Product Details,
OIL PAN (2 CYLINDER),000015769RD,code128,,Default Category,nos1,nos1,nos1,1888.1085,3225,5,28.00%,Exclusive,no_image.png,,,,,,,,,84099949,,,,,0,,,
OIL PAN CPTE CRANKCASE - 2 CYL,000015769RD-PB,code128,,Default Category,nos1,nos1,nos1,2138.968,3406,5,28.00%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,,
BRACKET MNTG FUEL FILTER,000015822RD,code128,,Default Category,nos1,nos1,nos1,93.6736,160,5,18.00%,Exclusive,no_image.png,,,,,,,,,83025000,,,,,0,,,
BRACKET MNTG FUEL FILTER,000015822RD-PB,code128,,Default Category,nos1,nos1,nos1,116.1688,172,5,18.00%,Exclusive,no_image.png,,,,,,,,,83025000,,,,,0,,,
SCREEN ASSY OIL PUMP,000015916RD,code128,,Default Category,nos1,nos1,nos1,77.28072,132,5,28.00%,Exclusive,no_image.png,,,,,,,,,84133020,,,,,0,,,
SCREEN ASSY OIL PUMP,000015916RD-PB,code128,,Default Category,nos1,nos1,nos1,77.244,123,5,28.00%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,,
SET BEARING CR SFT 0.508 mm U/,000015920RD,code128,,Default Category,nos1,nos1,nos1,809.57804,1234,5,18.00%,Exclusive,no_image.png,,,,,,,,,84833000,,,,,0,,,
OIL FILTER (TRANSMISSION),000016115P04,code128,,Default Category,nos1,nos1,nos1,163.75114,238,5,18.00%,Exclusive,no_image.png,,,,,,,,,84212300,,,,,0,,,
CONTROL SHIFTING RING,000016261P04,code128,,Default Category,nos1,nos1,nos1,1168.57475,1841,5,28.00%,Exclusive,no_image.png,,,,,,,,,87084000,,,,,0,,,
BOLT HEXAGONAL (M12X1.75X90X10.9),000016470P04,code128,,Default Category,nos1,nos1,nos1,23.4073,35,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181500,,,,,0,,,
O RING (29.70X2.80 NBR),000016654P04,code128,,Default Category,nos1,nos1,nos1,4.12818,6,5,18.00%,Exclusive,no_image.png,,,,,,,,,40169320,,,,,0,,,
BOLT (HEX G12.7X1.95X57.15X10.9),000019992R1,code128,,Default Category,nos1,nos1,nos1,15.80742,27,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181500,,,,,0,,,
BOLT HEX G12.7X1.95X57.15X10.9,000019992R1-PB,code128,,Default Category,nos1,nos1,nos1,20.73218,31,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,,
GUIDE VALVE,000020024E05,code128,,Default Category,nos1,nos1,nos1,18.73472,32,5,28.00%,Exclusive,no_image.png,,,,,,,,,84099949,,,,,0,,,
GUIDE VALVE - NEF,000020024E05-PB,code128,,Default Category,nos1,nos1,nos1,24.7924,40,5,28.00%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,,
GASKET EXHAUST MANIFOLD,000020026E05,code128,,Default Category,nos1,nos1,nos1,5.78763,9,5,18.00%,Exclusive,no_image.png,,,,,,,,,84841090,,,,,0,,,
GASKET EXHAUST MANIFOLD,000020026E05-PB,code128,,Default Category,nos1,nos1,nos1,6.44006,11,5,18.00%,Exclusive,no_image.png,,,,,,,,,40169310,,,,,0,,,
BOLT CONNECTING ROD,000020027E05,code128,,Default Category,nos1,nos1,nos1,24.00386,41,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181500,,,,,0,,,
BOLT CONNECTING ROD,000020027E05-PB,code128,,Default Category,nos1,nos1,nos1,30.393,45,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,,
ROCKER ARM PEDESTAL (NEF),000020031E05,code128,,Default Category,nos1,nos1,nos1,129.368,206,5,28.00%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,,
RING VALVE SEAT EXHAUST,000020052E05,code128,,Default Category,nos1,nos1,nos1,63.66393,99,5,28.00%,Exclusive,no_image.png,,,,,,,,,84099911,,,,,0,,,
RING - VALVE SEAT EXHAUST,000020052E05-PB,code128,,Default Category,nos1,nos1,nos1,65.312,104,5,28.00%,Exclusive,no_image.png,,,,,,,,,84099199,,,,,0,,,
SCREW ADJUSTING TAPPET,000020062E05,code128,,Default Category,nos1,nos1,nos1,24.08105,35,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181500,,,,,0,,,
SHAFT IDLER GEAR,000020063E05,code128,,Default Category,nos1,nos1,nos1,275.4815,434,5,28.00%,Exclusive,no_image.png,,,,,,,,,87084000,,,,,0,,,
SHAFT VALVE LEVER (NEF),000020064E05,code128,,Default Category,nos1,nos1,nos1,70.336,112,5,18.00%,Exclusive,no_image.png,,,,,,,,,84839000,,,,,0,,,
GASKET THERMOSTAT HOUSING,000020067E05,code128,,Default Category,nos1,nos1,nos1,8.792,14,5,18.00%,Exclusive,no_image.png,,,,,,,,,84841090,,,,,0,,,
RING VALVE SEAT INTAKE,000020069E05,code128,,Default Category,nos1,nos1,nos1,70.09463,109,5,28.00%,Exclusive,no_image.png,,,,,,,,,84099911,,,,,0,,,
RING - VALVE SEAT INTAKE,000020069E05-PB,code128,,Default Category,nos1,nos1,nos1,70.964,113,5,28.00%,Exclusive,no_image.png,,,,,,,,,84099199,,,,,0,,,
PISTON ASSY.,000020080E05,code128,,Default Category,nos1,nos1,nos1,2167.62224,3304,5,28.00%,Exclusive,no_image.png,,,,,,,,,84099112,,,,,0,,,
PUSH ROD (NEF),000020107E05,code128,,Default Category,nos1,nos1,nos1,60.916,97,5,28.00%,Exclusive,no_image.png,,,,,,,,,84099949,,,,,0,,,
SPACER BEARING HYDRAULIC PUMP,000020118E05,code128,,Default Category,nos1,nos1,nos1,32.33741,47,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181900,,,,,0,,,
CAMSHAFT (4 CYLINDER),000020127E05,code128,,Default Category,nos1,nos1,nos1,1719.464,2738,5,18.00%,Exclusive,no_image.png,,,,,,,,,84831099,,,,,0,,,
BEARING CAP MAIN BOLT,000020145E05,code128,,Default Category,nos1,nos1,nos1,43.34589,63,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181500,,,,,0,,,
BOLT CYLINDER HEAD,000020150E05,code128,,Default Category,nos1,nos1,nos1,55.8112,80,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181500,,,,,0,,,
PULLEY MAIN DRIVE,000020163E05,code128,,Default Category,nos1,nos1,nos1,235.94038,403,5,18.00%,Exclusive,no_image.png,,,,,,,,,84835010,,,,,0,,,
MAIN DRIVE PULLEY - SHEET META,000020163E05-PB,code128,,Default Category,nos1,nos1,nos1,297.672,474,5,18.00%,Exclusive,no_image.png,,,,,,,,,85030010,,,,,0,,,
PLATE TENSIONER FOR ALTERNATOR,000020164E05,code128,,Default Category,nos1,nos1,nos1,45.65797,71,5,28.00%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,,
ARM ROCKER,000020172E05,code128,,Default Category,nos1,nos1,nos1,752.972,1199,5,28.00%,Exclusive,no_image.png,,,,,,,,,84099949,,,,,0,,,
CLUTCH HYDRAULIC( I. C. PUMP),000020198E05,code128,,Default Category,nos1,nos1,nos1,131.252,209,5,28.00%,Exclusive,no_image.png,,,,,,,,,87089300,,,,,0,,,
HOUSING OIL PUMP,000020242E05,code128,,Default Category,nos1,nos1,nos1,2.4988,4,5,28.00%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,,
GASKET INTAKE CONNECTING PIPE,000020247E05,code128,,Default Category,nos1,nos1,nos1,7.61098,13,5,18.00%,Exclusive,no_image.png,,,,,,,,,84841010,,,,,0,,,
GASKET INTAKE CONNECTING PIPE,000020247E05-PB,code128,,Default Category,nos1,nos1,nos1,12.1462,20,5,18.00%,Exclusive,no_image.png,,,,,,,,,40169310,,,,,0,,,
WASHER PLAIN (G6.4X12.5X1.6),000020248E05,code128,,Default Category,nos1,nos1,nos1,1.37606,2,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181500,,,,,0,,,
WASHER PLAIN G8.4X17X1.6,000020249E05,code128,,Default Category,nos1,nos1,nos1,3.76224,6,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,,
BOLT (HEXFL M8X1.25X35.5X8.8),000020253E05,code128,,Default Category,nos1,nos1,nos1,7.84381,13,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181900,,,,,0,,,
BOLT (HEXFL M8X1.25X45.5X8.8),000020254E05,code128,,Default Category,nos1,nos1,nos1,11.69651,17,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181500,,,,,0,,,
BOLT (HEXFL M8X1.25X50.5X8.8),000020255E05,code128,,Default Category,nos1,nos1,nos1,12.38454,18,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181600,,,,,0,,,
BOLT (HEXFL M8X1.25X65.7X8.8),000020258E05,code128,,Default Category,nos1,nos1,nos1,8.25636,12,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181500,,,,,0,,,
BOLT (HEXFL M8X1.25X85.7X8.8),000020259E05,code128,,Default Category,nos1,nos1,nos1,12.67077,21,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181500,,,,,0,,,
BOLT (HEXFL M8X1.25X130.9X8.8),000020261E05,code128,,Default Category,nos1,nos1,nos1,32.33741,47,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181500,,,,,0,,,
STUD (M8 X 1.25 X 40),000020265E05,code128,,Default Category,nos1,nos1,nos1,12.38454,18,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181900,,,,,0,,,
STUD (M8 x 1.25x 45),000020266E05,code128,,Default Category,nos1,nos1,nos1,7.56833,11,5,18.00%,Exclusive,no_image.png,,,,,,,,,73182300,,,,,0,,,
STUD (M8 X 1.25 X 70),000020267E05,code128,,Default Category,nos1,nos1,nos1,13.07257,19,5,18.00%,Exclusive,no_image.png,,,,,,,,,73182300,,,,,0,,,
PIN DOWEL (10.018X20.000),000020269E05,code128,,Default Category,nos1,nos1,nos1,8.25175,13,5,18.00%,Exclusive,no_image.png,,,,,,,,,73182400,,,,,0,,,
KEY WOODRUFF,000020270E05,code128,,Default Category,nos1,nos1,nos1,8.792,14,5,18.00%,Exclusive,no_image.png,,,,,,,,,73182990,,,,,0,,,
SLEEVE LOCATION (14 X 15),000020275E05,code128,,Default Category,nos1,nos1,nos1,8.792,14,5,28.00%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,,
PIN DOWEL (8.015X12.000),000020279E05,code128,,Default Category,nos1,nos1,nos1,4.44325,7,5,18.00%,Exclusive,no_image.png,,,,,,,,,73182400,,,,,0,,,
PIN DOWEL (8.024X16.000),000020280E05,code128,,Default Category,nos1,nos1,nos1,6.908,11,5,18.00%,Exclusive,no_image.png,,,,,,,,,73182400,,,,,0,,,
PIN DOWEL (8.015X18.000),000020281E05,code128,,Default Category,nos1,nos1,nos1,7.61098,13,5,18.00%,Exclusive,no_image.png,,,,,,,,,73182990,,,,,0,,,
PIN DOWEL 8.015X18.000,000020281E05-PB,code128,,Default Category,nos1,nos1,nos1,9.5284,14,5,18.00%,Exclusive,no_image.png,,,,,,,,,40169920,,,,,0,,,
BEARING BALL (35X72X17),000020283E05,code128,,Default Category,nos1,nos1,nos1,277.96412,404,5,18.00%,Exclusive,no_image.png,,,,,,,,,84829119,,,,,0,,,
PLUG (HEXAGON HEAD SCREW),000020285E05,code128,,Default Category,nos1,nos1,nos1,79.12345,115,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181500,,,,,0,,,
RING SEALING FOR PIPE UNION ( 245DI),000020286E05,code128,,Default Category,nos1,nos1,nos1,24.08105,35,5,18.00%,Exclusive,no_image.png,,,,,,,,,40169330,,,,,0,,,
RING SEALING FOR PIPE UNION,000020287E05,code128,,Default Category,nos1,nos1,nos1,23.236,37,5,28.00%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,,
BEARING BALL (35X62X14),000020288E05,code128,,Default Category,nos1,nos1,nos1,300.66911,437,5,18.00%,Exclusive,no_image.png,,,,,,,,,84829119,,,,,0,,,
WASHER CLAMP NOZZLE HOLDER,000020289E05,code128,,Default Category,nos1,nos1,nos1,10.32045,15,5,18.00%,Exclusive,no_image.png,,,,,,,,,73182200,,,,,0,,,
SCREW (HEX M10X1.5X32X8.8),000020294SH,code128,,Default Category,nos1,nos1,nos1,5.50424,8,5,No Tax,Exclusive,no_image.png,,,,,,,,,73181190,,,,,0,,,
SCREW HEX M10X1.5X32X8.8,000020294SH-PB,code128,,Default Category,nos1,nos1,nos1,8.67734,14,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,,
PLUG EXPANSION 16 X 1.5 X 22,000020295E05,code128,,Default Category,nos1,nos1,nos1,6.28,10,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,,
PLUG EXPANSION (25 X 2.0 X 34),000020298E05,code128,,Default Category,nos1,nos1,nos1,5.024,8,5,18.00%,Exclusive,no_image.png,,,,,,,,,73182990,,,,,0,,,
PLUG EXPANSION (30 X 2.0 X 42),000020299E05,code128,,Default Category,nos1,nos1,nos1,5.024,8,5,18.00%,Exclusive,no_image.png,,,,,,,,,73182990,,,,,0,,,
PLUG EXPANSION (36 X 2.0 X 50),000020300E05,code128,,Default Category,nos1,nos1,nos1,8.792,14,5,18.00%,Exclusive,no_image.png,,,,,,,,,90173021,,,,,0,,,
PLUG EXPANSION (56 X 2.0 X 80),000020301E05,code128,,Default Category,nos1,nos1,nos1,11.7092,20,5,18.00%,Exclusive,no_image.png,,,,,,,,,90173021,,,,,0,,,
BOLT (HEX FL M10X1.5X65.7X8.8),000020302E05,code128,,Default Category,nos1,nos1,nos1,12.38454,18,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181500,,,,,0,,,
BOLT (HEX. HEAD M12 X 1.75),000020304E05,code128,,Default Category,nos1,nos1,nos1,23.39302,34,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181500,,,,,0,,,
BOLT (M14 X 1.5 X 50 HEX),000020305E05,code128,,Default Category,nos1,nos1,nos1,35.08953,51,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181500,,,,,0,,,
BOLT (HEX FL M8X1.25X30.5X8.8),000020306E05,code128,,Default Category,nos1,nos1,nos1,9.63242,14,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181900,,,,,0,,,
BOLT HEX FL M8X1.25X20X8.8,000020307E05,code128,,Default Category,nos1,nos1,nos1,10.32045,15,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181900,,,,,0,,,
BOLT (HEX FL M8 X 16),000020308E05,code128,,Default Category,nos1,nos1,nos1,5.50424,8,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181500,,,,,0,,,
BOLT (HEX FL M8X1.25X25.5X8.8),000020309E05,code128,,Default Category,nos1,nos1,nos1,4.68368,8,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181900,,,,,0,,,
BOLT HEXFL M8X1.25X25.5X8.8,000020309E05-PB,code128,,Default Category,nos1,nos1,nos1,6.01902,9,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,,
BOLT (HEX FL M8X1.25X35.5X8.8),000020310E05,code128,,Default Category,nos1,nos1,nos1,5.43033,9,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181900,,,,,0,,,
BOLT (HEX FL M6X1.00X16.5X8.8),000020311E05,code128,,Default Category,nos1,nos1,nos1,4.12818,6,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181900,,,,,0,,,
BOLT (HEX FL M6X1.00X20.5X8.8),000020312E05,code128,,Default Category,nos1,nos1,nos1,17.88878,26,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,,
BOLT (HEX FL M10X1.5X25.5X8.8),000020313E05,code128,,Default Category,nos1,nos1,nos1,6.8803,10,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181900,,,,,0,,,
BOLT (HEX FL M10X1.5X35.5X8.8),000020314E05,code128,,Default Category,nos1,nos1,nos1,9.63242,14,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181900,,,,,0,,,
FILTER (ENGINE OIL ),000020316E05,code128,,Default Category,nos1,nos1,nos1,149.01,250,5,18.00%,Exclusive,no_image.png,,,,,,,,,84212300,,,,,0,,,
OIL FILTER NEF,000020316E05-PB,code128,,Default Category,nos1,nos1,nos1,174.75962,254,5,18.00%,Exclusive,no_image.png,,,,,,,,,84212300,,,,,0,,,
GASKET THERMOSTAT,000020320E05,code128,,Default Category,nos1,nos1,nos1,9.00298,14,5,18.00%,Exclusive,no_image.png,,,,,,,,,84841090,,,,,0,,,
GASKET THERMOSTAT,000020320E05-PB,code128,,Default Category,nos1,nos1,nos1,13.63582,22,5,18.00%,Exclusive,no_image.png,,,,,,,,,40169310,,,,,0,,,
BOLT (HEX FL M10X1.5X16.5X8.8),000020324E05,code128,,Default Category,nos1,nos1,nos1,5.64336,9,5,18.00%,Exclusive,no_image.png,,,,,,,,,73181900,,,,,0,,,
BELT FAN,000020325E05,code128,,Default Category,nos1,nos1,nos1,162.75788,278,5,18.00%,Exclusive,no_image.png,,,,,,,,,40103290,,,,,0,,,
FAN BELT,000020325E05-PB,code128,,Default Category,nos1,nos1,nos1,195.40052,284,5,18.00%,Exclusive,no_image.png,,,,,,,,,40101110,,,,,0,,,
ARM CPT ROCKER EXHAUST M/C,000020331E05,code128,,Default Category,nos1,nos1,nos1,121.82016,168,5,28.00%,Exclusive,no_image.png,,,,,,,,,87089200,,,,,0,,,
BEARING CRANK SHAFT TOP,000020332E05,code128,,Default Category,nos1,nos1,nos1,56.50884,81,5,18.00%,Exclusive,no_image.png,,,,,,,,,84821090,,,,,0,,,
BUSH BI-MET  48.975X53.030X21.50,000020334E05,code128,,Default Category,nos1,nos1,nos1,60.35752,92,5,28.00%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,,
BEARING CONNECTING ROD TOP AND BOTTEM,000020335E05,code128,,Default Category,nos1,nos1,nos1,64.95007,101,5,18.00%,Exclusive,no_image.png,,,,,,,,,84821090,,,,,0,,,
BRG CONROD-TOP & BOTTEM-STD-KOEL,000020335E05-PB,code128,,Default Category,nos1,nos1,nos1,72.69374,101,5,18.00%,Exclusive,no_image.png,,,,,,,,,84821011,,,,,0,,,
BUSH BI-MET  29.000X32.025X24.50,000020337E05,code128,,Default Category,nos1,nos1,nos1,69.708,111,5,18.00%,Exclusive,no_image.png,,,,,,,,,74122090,,,,,0,,,
BEARING CRANK SHAFT BOTTOM,000020340E05,code128,,Default Category,nos1,nos1,nos1,47.58718,74,5,18.00%,Exclusive,no_image.png,,,,,,,,,84821090,,,,,0,,,
