Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No.,Supplier Price,Quantity,Details,Product Details
HOSE-CONNECTOR TO GAS AIR MIXER,0308AAV00170N,code128,,Default Category,nos1,nos1,nos1," 1,270.35 ",1913,5,18%,Exclusive,no_image.png,,,,,,,,,85016100,,,,,0,,
HOSE-FCV TO ZERO PRESS REGULATOR,0308AAV00180N,code128,,Default Category,nos1,nos1,nos1," 1,234.49 ",1859,5,18%,Exclusive,no_image.png,,,,,,,,,85016100,,,,,0,,
HOSE-FUEL CONTROL VLVE -CONNECTOR,0308AAV00190N,code128,,Default Category,nos1,nos1,nos1," 1,139.53 ",1716,5,18%,Exclusive,no_image.png,,,,,,,,,85016100,,,,,0,,
IGNITION COIL,0308BAV00011N,code128,,Default Category,nos1,nos1,nos1," 1,957.65 ",2948,5,28%,Exclusive,no_image.png,,,,,,,,,84099941,,,,,0,,
IGNITION COIL CNG - NEF 2.6LCV,0308BC0041N,code128,,Default Category,nos1,nos1,nos1," 1,317.83 ",2233,5,28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
SPARK PLUG - CNG,0308CAV00010N,code128,,Default Category,nos1,nos1,nos1, 574.56 ,927,5,28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
SPARK PLUG,0308CAV00021N,code128,,Default Category,nos1,nos1,nos1, 840.08 ,1221,5,28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
SPARK PLUG - NEF 2.6L LCV CNG,0308CC0011N,code128,,Default Category,nos1,nos1,nos1, 82.27 ,131,5,28%,Exclusive,no_image.png,,,,,,,,,85111000,,,,,0,,
HIGH TENSION LEADS MDI CNG,0308DB0010N,code128,,Default Category,nos1,nos1,nos1, 359.84 ,573,5,28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
ENGINE WIRING HARNESS,0308EBA00041N,code128,,Default Category,nos1,nos1,nos1," 4,784.12 ",7441,5,18%,Exclusive,no_image.png,,,,,,,,,85443000,,,,,0,,
SENSOR WATER TEMPERATURE,03090C0071N,code128,,Default Category,nos1,nos1,nos1, 340.38 ,542,5,18%,Exclusive,no_image.png,,,,,,,,,90251990,,,,,0,,
SENSOR ENGINE SPEED ( DG 6 ),03090C0231N,code128,,Default Category,nos1,nos1,nos1," 1,090.84 ",1737,5,28%,Exclusive,no_image.png,,,,,,,,,84099990,,,,,0,,
CATALYTIC CONVERTER,0309FAV00120N,code128,,Default Category,nos1,nos1,nos1," 70,185.42 ",113237,5,18%,Exclusive,no_image.png,,,,,,,,,84213920,,,,,0,,
Camshaft- 6 CYLINDER GENSET,0310AAV00010N,code128,,Default Category,nos1,nos1,nos1," 5,374.42 ",8558,5,18%,Exclusive,no_image.png,,,,,,,,,84831099,,,,,0,,
DOUBLE CAMSHAFT GEAR,0310AAV00020N,code128,,Default Category,nos1,nos1,nos1, 972.14 ,1548,5,18%,Exclusive,no_image.png,,,,,,,,,84834000,,,,,0,,
CAMSHAFT LOCK,0310AAV00030N,code128,,Default Category,nos1,nos1,nos1, 141.93 ,226,5,28%,Exclusive,no_image.png,,,,,,,,,84099941,,,,,0,,
CAMSHAFT LOCK  (Camshaft Lock Plate),0310AAV00030NI,code128,,Default Category,nos1,nos1,nos1, 106.10 ,164,5,28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
"GEAR, CAMSHAFT S/F GENSET",0310AAV00040N,code128,,Default Category,nos1,nos1,nos1," 1,583.82 ",2522,5,18%,Exclusive,no_image.png,,,,,,,,,84839000,,,,,0,,
"BUSHING, DRIVE BEARING (CAMSHAFT)",0310AAV00050N,code128,,Default Category,nos1,nos1,nos1, 33.91 ,54,5,28%,Exclusive,no_image.png,,,,,,,,,84099990,,,,,0,,
"GEAR, INTERMEDIATE FUEL INJECTION PUMP",0310AAV00120N,code128,,Default Category,nos1,nos1,nos1," 1,500.29 ",2389,5,18%,Exclusive,no_image.png,,,,,,,,,84839000,,,,,0,,
GEAR  CAMSHAFT M,0310AAV00150N,code128,,Default Category,nos1,nos1,nos1," 2,355.63 ",3751,5,18%,Exclusive,no_image.png,,,,,,,,,84839000,,,,,0,,
"DOWEL, SPRING - ?3X10-ST - DIN 8752",0310AAV00160N,code128,,Default Category,nos1,nos1,nos1, 3.94 ,6,5,18%,Exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
"SCREW, HEX FL HEAD - M8 X 30 X 1.25X10.9",0310AAV00170N,code128,,Default Category,nos1,nos1,nos1, 5.65 ,9,5,18%,Exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
"DOWEL, SPRING 6x28-ST-ISO 8752",0310AAV00180N,code128,,Default Category,nos1,nos1,nos1, 5.65 ,9,5,18%,Exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
CAMSHAFT 4.8L AV ENGINE,0310AAV00230N,code128,,Default Category,nos1,nos1,nos1," 3,152.87 ",5604,5,18%,Exclusive,no_image.png,,,,,,,,,84831099,,,,,0,,
EGR DUAL LOBE CAMSHAFT WITH LIFT 1.2,0310AAV00290N,code128,,Default Category,nos1,nos1,nos1," 8,457.53 ",13152,5,28%,Exclusive,no_image.png,,,,,,,,,84099990,,,,,0,,
CAMSHAFT INTERNAL EGR- LOBE 1,0310AAV00480N,code128,,Default Category,nos1,nos1,nos1," 5,236.26 ",8338,5,18%,Exclusive,no_image.png,,,,,,,,,84831099,,,,,0,,
GEAR CAMSHAFT,0310ABA00030N,code128,,Default Category,nos1,nos1,nos1," 2,061.49 ",3326,5,18%,Exclusive,no_image.png,,,,,,,,,85044029,,,,,0,,
KEY WOODRUF,0310ABA00050N,code128,,Default Category,nos1,nos1,nos1, 20.45 ,33,5,18%,Exclusive,no_image.png,,,,,,,,,85044029,,,,,0,,
CAMSHAFT   MACHINING,0310ABA00060N,code128,,Default Category,nos1,nos1,nos1," 6,659.86 ",10745,5,18%,Exclusive,no_image.png,,,,,,,,,85044029,,,,,0,,
PLATE CAMSHAFT THRUST,0310ABA00170N,code128,,Default Category,nos1,nos1,nos1, 476.01 ,768,5,18%,Exclusive,no_image.png,,,,,,,,,76169990,,,,,0,,
ROCKER ARM LEG / PUSH ROD,0310BAV00010N,code128,,Default Category,nos1,nos1,nos1, 50.80 ,79,5,28%,Exclusive,no_image.png,,,,,,,,,84099949,,,,,0,,
KIT-ROCKER ARM INTAKE,0310BAV0001KT,code128,,Default Category,nos1,nos1,nos1," 1,164.31 ",1854,5,28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
TAPPET S/F 6 CYL GENSET,0310BAV00020N,code128,,Default Category,nos1,nos1,nos1, 138.83 ,199,5,28%,Exclusive,no_image.png,,,,,,,,,84099949,,,,,0,,
KIT-ROCKER ARM EXHAUST,0310BAV0002KT,code128,,Default Category,nos1,nos1,nos1," 1,207.02 ",1922,5,28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
"COVER - DIAMETER 9,9",0310BAV00030N,code128,,Default Category,nos1,nos1,nos1, 5.85 ,10,5,28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
KIT-ROCKER ARM INTERMEDIATE,0310BAV0003KT,code128,,Default Category,nos1,nos1,nos1, 684.52 ,1090,5,28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
SPRING WASHER PLATE UPPER,0310BAV00040N,code128,,Default Category,nos1,nos1,nos1, 38.12 ,57,5,18%,Exclusive,no_image.png,,,,,,,,,73182100,,,,,0,,
VALVE LOCK S,0310BAV00050N,code128,,Default Category,nos1,nos1,nos1, 6.64 ,11,5,28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
VALVE STEM SEAL,0310BAV00060NI,code128,,Default Category,nos1,nos1,nos1, 29.27 ,50,5,18%,Exclusive,no_image.png,,,,,,,,,84818090,,,,,0,,
"VALVE CAP 1,5MM S/F GENSET",0310BAV00070N,code128,,Default Category,nos1,nos1,nos1, 32.24 ,49,5,18%,Exclusive,no_image.png,,,,,,,,,85044029,,,,,0,,
"VALVE CAP 1,5MM",0310BAV00070NI,code128,,Default Category,nos1,nos1,nos1, 487.82 ,754,5,28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
NTAKE ROCKER ARM,0310BAV00080N,code128,,Default Category,nos1,nos1,nos1, 544.60 ,714,5,28%,Exclusive,no_image.png,,,,,,,,,84099990,,,,,0,,
"GROUP, ROCKER ARM - INTAKE",0310BAV00090N,code128,,Default Category,nos1,nos1,nos1, 115.63 ,194,5,28%,Exclusive,no_image.png,,,,,,,,,84099990,,,,,0,,
"SCREW, ROCKER ARM",0310BAV00100N,code128,,Default Category,nos1,nos1,nos1, 57.41 ,85,5,18%,Exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
"NUT, ROCKER ARM, M8-10",0310BAV00110N,code128,,Default Category,nos1,nos1,nos1, 1.68 ,3,5,18%,Exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
ROCKER ARM PIVOT,0310BAV00140N,code128,,Default Category,nos1,nos1,nos1, 39.87 ,62,5,28%,Exclusive,no_image.png,,,,,,,,,84099990,,,,,0,,
"SEAT, PIVOT ROCKER ARM",0310BAV00150N,code128,,Default Category,nos1,nos1,nos1, 50.16 ,78,5,28%,Exclusive,no_image.png,,,,,,,,,84099990,,,,,0,,
EXHAUST ROCKER ARM,0310BAV00160N,code128,,Default Category,nos1,nos1,nos1, 133.93 ,211,5,18%,Exclusive,no_image.png,,,,,,,,,73259999,,,,,0,,
EXHAUST ROCKER ARM,0310BAV00160NI,code128,,Default Category,nos1,nos1,nos1, 968.76 ,1563,5,28%,Exclusive,no_image.png,,,,,,,,,84099990,,,,,0,,
ROCKER ARM SHAFT,0310BAV00170N,code128,,Default Category,nos1,nos1,nos1, 180.24 ,287,5,28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
INTAKE AND EXHAUST VALVE SPRINGS,0310BAV00180N,code128,,Default Category,nos1,nos1,nos1, 62.17 ,99,5,28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
"GROUP, INTERMEDIATE ROCKER ARM",0310BAV00190N,code128,,Default Category,nos1,nos1,nos1, 152.21 ,232,5,28%,Exclusive,no_image.png,,,,,,,,,84099990,,,,,0,,
"O-RING, 12.18 X 1.74",0310BAV00230N,code128,,Default Category,nos1,nos1,nos1, 5.40 ,8,5,18%,Exclusive,no_image.png,,,,,,,,,40161000,,,,,0,,
"ROCKER ARM, INTERMEDIATE-CASTING",0310BAV00250N,code128,,Default Category,nos1,nos1,nos1, 231.81 ,374,5,28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
"SHAFT, ROCKER ARM - INTAKE",0310BAV00300N,code128,,Default Category,nos1,nos1,nos1, 249.32 ,397,5,28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
LOCK PLATE-INTAKE ROCKER SHAFT,0310BAV00310N,code128,,Default Category,nos1,nos1,nos1, 6.28 ,10,5,28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
"SCREW,RND HEAD ALLEN-M4X8X0.7X8.8-DIN912",0310BAV00320N,code128,,Default Category,nos1,nos1,nos1, 3.14 ,5,5,18%,Exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
"SEAL, VALVE STEM",0310BAV00440NI,code128,,Default Category,nos1,nos1,nos1, 58.49 ,86,5,18%,Exclusive,no_image.png,,,,,,,,,40091100,,,,,0,,
ASSY ROCKER ARM-INTAKE,0310BAV00500N,code128,,Default Category,nos1,nos1,nos1, 611.75 ,987,5,28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
ASSY ROCKER ARM-INTERMEDIATE,0310BAV00510N,code128,,Default Category,nos1,nos1,nos1, 632.83 ,1021,5,28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
"ROCKER ARM, EXHAUST",0310BAV00520N,code128,,Default Category,nos1,nos1,nos1, 510.10 ,823,5,28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
ROCKER ARM INTAKE,0310BAV00530N,code128,,Default Category,nos1,nos1,nos1, 961.95 ,1552,5,28%,Exclusive,no_image.png,,,,,,,,,84099199,,,,,0,,
ROCKER ARM INTERMEDIATE,0310BAV00540N,code128,,Default Category,nos1,nos1,nos1," 2,344.74 ",3783,5,28%,Exclusive,no_image.png,,,,,,,,,84099199,,,,,0,,
TAPPET,0310BAV00960N,code128,,Default Category,nos1,nos1,nos1, 195.40 ,284,5,28%,Exclusive,no_image.png,,,,,,,,,84099941,,,,,0,,
GASKET ROCKER ARM COVER,0310BB0190N,code128,,Default Category,nos1,nos1,nos1, 67.57 ,103,5,18%,Exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
ROCKER ARM COVER ASSY W/O BRKT -MDI TC,0310BB0520N,code128,,Default Category,nos1,nos1,nos1, 836.50 ,1332,5,28%,Exclusive,no_image.png,,,,,,,,,84099949,,,,,0,,
