RUPSI1 (RUPSHI (BALAJAN))
GOUR03 (GAURIPUR)
BAIDA2 (BAIDA PART-02)
KTLBR3 (KATHALBARI)
ATHBR2 (AITHABARI)
GORGN2 (GORAGAON)
BGRIB2 (BOGRIBARI 02)
BGAMR1 (BANDHABPARA)
HKPAR1 (HEKAIPARA)
SABIL1 (SUBBIL)
CTLGM1 (CHITLA)
JHRPM1 (JAHARPAM)
GHLJR1 (GHILAJARI)
MDUSR1 (MADHUSALMARI)
NGDBR1 (NEHRU BAZAR )
SLCHW4 (SALESHWAR)
HLKRA3 (HALAKURA)
KMJ001 (KHARMUJA)
GOSG03 (GOSSAIGAON)
BSBR01 (BASHBARI(LAKHIPUR))
AMBR01 (AMBARI)
JGCHR1 (JARUACHAR)
BHANG1 (BIRANG GAON)
FLMRI1 (POKALAGI)
CGLIY1 (CHAGALIYA)
KHRSK1 (NO.1 KURSHAKATI)
BRBG01 (BARBHOG)
SHPUR1 (SAHPUR)
KHRBR1 (KHORABARI )
SRGRM1 (SRIGRAM)
KZKTA1 (KAZIKATA)
TNGBT1 (MOKRAMBIL)
SOLA01 (SOLMARI)
PANBR4 (PANBARI)
NAGB01 (NAGBARI)
BHDGR1 (BHODIYAGURI)
GRPBZ4 (GARUFELA BAZAR)
JHLCR1 (JALERCHAR)
CHKMA2 (CHAKMA 02)
KKRPR1 (KAKRIPARA)
RNGJ01 (RANIGANJ)
KALPN3 (KALAPANI)
GPTHW1 (TURAHIGHWAY)
KHPBZ6 (HAZIRHAT)
NWAGN1 (NAYAGAON-RAJAPUKHRI)
KHPBZ5 (BERABHANGA)
DHU003 (DHUBRI 03)
BHYPM1 (BHAIRAGURI PUMP)
DSBSA1 (DASABHUJA)
SNTNR1 (JOYMA)
BNGON3 (BONGAON)
KNIBS1 (KAUNIABASA)
DNGRI1 (DANGRI GAON)
FKRGM1 (FAKIRAGRAM)
BTBRI1 (BETBARI)
JRBRI1 (JHARABARI)
TRNGP1 (TARANGAPUR)
DHU006 (DHUBRI 06)
NYSTR1 (PAKHAKATA)
RPHBZ1 (RUPOHI BAZAR)
RNKTA1 (RUNIKHATA)
DMRA01 (DAMRA)
BON002 (BONGAIGAON RBSC)
GLKGJ1 (GOLAKGANJ)
BRGLA1 (BARGHOLA)
ABHPY1 (ABHYAPURI)
JAGP04 (JOGHIGHOPA)
GSIGN1 (GOSAIGAON)
GOLP06 (GOALPARA)
BSHBR1 (BASHBARI(KOK))
BON012 (BONGAIGAON)
DHU005 (DHUBRI 05)
CHURA1 (NIKASHI)
KRMRA1 (KAREMURA)
ASNRKRGN01R (KHORAGOAN)
ANDAR1 (ANDARGAON)
SRJYA1 (SURJOMONI)
CHGUL1 (CHENGHULIA)
GBRDH1 (GOBARDHANA)
AMBUK1 (AMBUK)
DRNGN1 (DARANGIRI)
BNHUG1 (BONGHEGI)
MSLPR2 (MASALPUR)
KAIMR1 (KOIMARI)
DHU009 (DHUBRI 09)
LKIPR5 (LAKHIPUR)
RKHK01 (CHUKATALA)
ABHPY7 (ABHYAPURI)
JLSWR4 (JALESWAR)
JANIA1 (JANIYA)
ASDUDHN005 (DUDHNOI)
CHIBR1 (CHAIBARI)
BLPRI1 (BILASHPUR)
ASBATPIR01 (BHATIPARA)
ASREHBRI01 (REHABARI)
ABHPY4 (ABHYAPURI)
DUBGN1 (DUBAGAON)
ASPLSKND01 (POLASHKANDI)
BHMPR1 (SILBARI ABADIPA)
BAIDA3 (BATAPARA)
ASDHNTLA02 (DHANTALA)
ASRTNPUR01 (RATANPUR)
BLKHM1 (BALIKHAMAR)
ASDEBOTR01 (DEBOTARA)
BON013 (BONGAIGAON)
SJLKB1 (KAHIBARI)
BOTMR1 (BOITAMARI)
PDMRL1 (PODMORIL)
BAR009 (BARPETA)
PLHJI1 (PALHAJI)
KHMAR1 (KHORAGHAT)
MELGH1 (MALEGARH)
SLBRI1 (SALBARI)
BLTRI1 (BILATARI)
DHU014 (DHUBRI 14)
CUNBR1 (CHUNBARI GAON)
PATGN3 (PATGAON)
SUSLM7 (SOUTH SALMARA 07)
RKLDB1 (CHAPRAKATA)
STSIK1 (SATSHIA)
DHU013 (DHUBRI 13)
BON009 (BONGAIGAON)
BIJNI5 (BIJNI)
BIJNI6 (BIJNI)
DOTM04 (DOTMA)
BILPR4 (BILASHIPARA)
DRHT01 (TISTAPAR)
HOW005 (HOULI)
SALBI1 (SALBARI- BETINI)
