Product Code,Product Name,Variant,Expected,Counted
000020695E05-PB,WASHER SEALING 12 X 16 IS3175 - COP,,0,
000020754E05-PB,HOSE OIL COOLER PIPE TO WATER PUMP,,0,
2.08E+09,4NEF  (P) TYPE  REGULUR CYL.HEAD,,0,
000020798E05-PB,CAMSHAFT THRUST PLATE - MNEF,,0,
000020820E05-PB,PIPE FROM C`CASE REAR TO OIL C,,0,
000020839E05-PB,HOSE OIL COOLER - ALT # 006005659F1,,0,
2.09E+09,PACKAGE ENGINE COMPLETE,,0,
000020855E05-PB,PACKAGE ENGINE COMPLETE,,0,
2.09E+09,SET OF CRANK SHAFT MAIN BRG-4,,0,
000020856E05-PB,SET OF CRANK SHAFT MAIN BRG-4,,0,
2.09E+09,SET OF VALVES,,0,
000020857E05-PB,SET OF VALVES NEF,,0,
2.09E+09,"SET -LINER ,PISTON & RINGS",,0,
000020869R1,WASHER PLAIN (G13.487X22.225X1.524),,0,
000020869R1-PB,WASHER PLAIN G13.487X22.225X1.524,,0,
000020890E05-PB,WASHER THRUST CR'SHAFT W/O LUG-STD-,,0,
2.09E+09,LINER CYLINDER,,0,
000020899E05-PB,CYLINDER LINER WITH GRADING,,0,
000020988R1,PLUG WATER DRAIN (6.3 MM),,0,
2.14E+12,FILTER FUEL WITH HAND,,0,
000021354E08-PB,FUEL FILTER (9450030116) WITH HAND,,0,
2.16E+13,MANIFOLD EXHAUST,,0,
2.16E+05,CY.LINER VNEF 6500 NEW55 WITH GRADE-1,,0,
000021637E1-PB,CY.LINER VNEF 6500 NEW55 WITH GRADE-1,,0,
2.16E+15,CYLINDER LINER VNEF,,0,
2.18E+18,PISTON RING TOP KEYSTONE(CR-CS),,0,
2.18E+15,PISTON DIA 96 (VNEF)-ESCORTS MAHLE,,0,
000022008RD,WASHER PLAIN (G18X27X1.00),,0,
000022008RD-PB,WASHER PLAIN G18X27X1.00,,0,
000022010RD,BRACKET VALVE LEVER,,0,
000022010RD-PB,BRACKET VALVE LEVER,,0,
000022011RD,BRACKET VALVE LVR SFT FRT/REAR,,0,
000022011RD-PB,BRACKET VALVE LVR SFT FRT/REAR,,0,
000022018RD,BUSH (46.025X39.377X25.65),,0,
000022019RD,TAPPET VALVE,,0,
000022019RD-PB,TAPPET VALVE,,0,
000022020RD,PUSH ROD VALVE,,0,
000022020RD-PB,PUSH ROD VALVE,,0,
000022023RD,GASKET AIR INTAKE MANIFOLD 4DI,,0,
000022033RD,WASHER VALVE LEVER SFT SPRING,,0,
000022034RD,RING RETAINING VALVE LEVER SFT,,0,
000022035RD,SPRING VALVE LEVER,,0,
000022036RD,SPACER VALVE LEVER,,0,
000022039RD,GASKET CYL. HEAD-4 CYL,,0,
000022039RD-PB,GASKET CYLINDER HEAD-4 CYL.,,0,
000022048RD,PLUG WATER JET (ALUMINIUM),,0,
000022052RD,STUD BOTH ENDS M10X1.5X160.80X8.8,,0,
000022052RD-PB,STUD BOTHENDS M10X1.5X160.80X8.8,,0,
000022055RD,NUT (HEX M10 X 1.5 X 8 X 8),,0,
000022056RD,WASHER INJECTOR NOZZLE HOLDER,,0,
000022056RD-PB,WASHER INJ NOZZLE HOLDER,,0,
000022069RD,BEARING (CRANK SHAFT REAR TOP-STD-BIM),,0,
000022071RD,BEARING (CRANK SHAFT F/C TOP STD BIM),,0,
