Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No.,Supplier Price,Quantity,Details,Product Details
SOLENOID VALVE,S0305D000581N,code128,,Default Category,nos1,nos1,nos1," 9,731.02 ",15700,5,18%,Exclusive,no_image.png,,,,,,,,,85059000,,,,,0,,
ZERO PRESSURE REGULATOR,S0305D000591N,code128,,Default Category,nos1,nos1,nos1," 17,334.23 ",27967,5,18%,Exclusive,no_image.png,,,,,,,,,90328990,,,,,0,,
FILTER LOW PRESSURE,S0305D000611N,code128,,Default Category,nos1,nos1,nos1," 2,354.76 ",3546,5,18%,Exclusive,no_image.png,,,,,,,,,84219900,,,,,0,,
SOLENOID COIL,S0305D000661N,code128,,Default Category,nos1,nos1,nos1," 1,787.53 ",2884,5,18%,Exclusive,no_image.png,,,,,,,,,85059000,,,,,0,,
ZERO PRESSURE REGULATOR INLET,S0305D000681N,code128,,Default Category,nos1,nos1,nos1, 957.61 ,1545,5,18%,Exclusive,no_image.png,,,,,,,,,90328990,,,,,0,,
ZERO PRESSURE REGULATOR OUTLET,S0305D000691N,code128,,Default Category,nos1,nos1,nos1, 957.61 ,1545,5,18%,Exclusive,no_image.png,,,,,,,,,90328990,,,,,0,,
MAIN AIR FILTER,SEV551F/4-PE,code128,,Default Category,nos1,nos1,nos1," 14,236.08 ",19763,5,18%,Exclusive,no_image.png,,,,,,,,,84212300,,,,,0,,
BOLT HEX FL M6X1X45X8.8XZN,SF0102003,code128,,Default Category,nos1,nos1,nos1, 1.88 ,3,5,18%,Exclusive,no_image.png,,,,,,,,,73181900,,,,,0,,
BOLT HEX FL M8X1.25X30X8.8XZN,SF0102005,code128,,Default Category,nos1,nos1,nos1, 4.01 ,6,5,18%,Exclusive,no_image.png,,,,,,,,,73182990,,,,,0,,
Bolt Hex Fl M8x1.25x50X8.8XZN,SF0102026,code128,,Default Category,nos1,nos1,nos1, 6.82 ,11,5,18%,Exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
